Room,Current Residents,Key num,Total Last key,Keys on hook,Error,Other Codes,Notes,,,,,,,,,,,,,,,,,,
12,1,B15,3,,,B49,3,,,,,,,,,,,,,,,,,,
12,1,B27,2,1,0,,,,,,,,,,,,,,,,,,,,
12,1,B30,1,,,,No keys,,,,,,,,,,,,,,,,,,
12,1,B9,2,1,0,,,,,,,,,,,,,,,,,,,,
12,1,B17,2,1,0,,,,,,,,,,,,,,,,,,,,
12,1,B34,3,2,0,,,,,,,,,,,,,,,,,,,,
12,1,B60,3,2,0,B60X,1,,,,,,,,,,,,,,,,,,
12,1,B33,3,1,-1,,,,,,,,,,,,,,,,,,,,
12,1,B44,3,2,0,,,,,,,,,,,,,,,,,,,,
12,2,B85,3,6,5,,,,,,,,,,,,,,,,,,,,
12,1,B18,3,,,6AA,1,,,,,,,,,,,,,,,,,,
12,1,B14,3,2,0,,,,,,,,,,,,,,,,,,,,
12,1,B81,3,3,1,,,,,,,,,,,,,,,,,,,,
12,1,B5,2,2,1,,,,,,,,,,,,,,,,,,,,
12,3,B82,4,1,0,B52,1,,,,,,,,,,,,,,,,,,
12,1,B52X,,3,4,,,,,,,,,,,,,,,,,,,,
12,1,B53X,,2,3,,,,,,,,,,,,,,,,,,,,
12,1,B54,,2,3,B81,1,,,,,,,,,,,,,,,,,,
12,0,B25,1,1,0,,,,,,,,,,,,,,,,,,,,
12,4,B82,4,6,6,,,,,,,,,,,,,,,,,,,,
12,1,B55,,2,3,,,,,,,,,,,,,,,,,,,,
12,1,B56,,,,B56X,2,,,,,,,,,,,,,,,,,,
12,2,B57,,1,3,,,,,,,,,,,,,,,,,,,,
12,0,B10,2,2,0,,,,,,,,,,,,,,,,,,,,
12,1,B11,3,1,-1,,,,,,,,,,,,,,,,,,,,
12,2,B12,3,1,0,,,,,,,,,,,,,,,,,,,,
12,1,B43,3,2,0,,,,,,,,,,,,,,,,,,,,
12,1,B29,2,1,0,,,,,,,,,,,,,,,,,,,,
12,1,B41,3,2,0,,,,,,,,,,,,,,,,,,,,
12,1,B13,3,2,0,,,,,,,,,,,,,,,,,,,,
12,4,B83,3,1,2,,,,,,,,,,,,,,,,,,,,
12,1,B61,,2,3,,,,,,,,,,,,,,,,,,,,
12,1,B62,,2,3,,,,,,,,,,,,,,,,,,,,
12,2,B63,,1,3,,,,,,,,,,,,,,,,,,,,
12,1,B24,3,1,-1,,,,,,,,,,,,,,,,,,,,
12,1,B22,1,1,1,G44,1,,,,,,,,,,,,,,,,,,
12,1,B39,2,1,0,,,,,,,,,,,,,,,,,,,,
12,1,B37,4,3,0,,No hook for 309,,,,,,,,,,,,,,,,,,
12,1,B45,2,1,0,,,,,,,,,,,,,,,,,,,,
12,3,B84,4,3,2,B60x,1,,,,,,,,,,,,,,,,,,
12,1,B58,,3,4,,Marked as 314 A,,,,,,,,,,,,,,,,,,
12,1,AA,,3,4,B59,3,,,,,,,,,,,,,,,,,,
12,1,?,,,,B60X,2 marked as 314,,,,,,,,,,,,,,,,,,
12,1,B59,3,3,1,B32,2,,,,,,,,,,,,,,,,,,
12,1,B21,4,3,0,1,No code,,,,,,,,,,,,,,,,,,
12,1,B20,3,,,B64,2,,,,,,,,,,,,,,,,,,
11,Staff,3--2,1,0,#VALUE!,,,,,,,,,,,,,,,,,,,,
11,2,3--3,2,0,0,,,,,,,,,,,,,,,,,,,,
11,2,3--4,2,0,0,,,,,,,,,,,,,,,,,,,,
11,1,3--5,2,1,0,,,,,,,,,,,,,,,,,,,,
11,1,3--6,2,0,-1,,,,,,,,,,,,,,,,,,,,
11,1,3--7,2,1,0,,,,,,,,,,,,,,,,,,,,
11,1,3--8,2,1,0,,,,,,,,,,,,,,,,,,,,
11,1,3--9,3,0,-2,,,,,,,,,,,,,,,,,,,,
11,1,3--10,2,1,0,,,,,,,,,,,,,,,,,,,,
11,2,3--12,2,0,0,,,,,,,,,,,,,,,,,,,,
11,2,3--13,,0,2,,,,,,,,,,,,,,,,,,,,
11,1,3--14,2,4,3,,,,,,,,,,,,,,,,,,,,
11,1,3--15,2,0,-1,,,,,,,,,,,,,,,,,,,,
11,1,3--16,2,0,-1,,,,,,,,,,,,,,,,,,,,
11,1,3--17,1,0,0,,,,,,,,,,,,,,,,,,,,
11,1,3--18,4,0,-3,,,,,,,,,,,,,,,,,,,,
11,1,3--19,2,3,2,,,,,,,,,,,,,,,,,,,,
11,1,3--20,3,0,-2,,,,,,,,,,,,,,,,,,,,
11,2,3--21,2,0,0,,,,,,,,,,,,,,,,,,,,
11,2,3--22,2,3,3,,,,,,,,,,,,,,,,,,,,
11,2,3--23,2,0,0,,,,,,,,,,,,,,,,,,,,
11,2,3--24,2,0,0,,,,,,,,,,,,,,,,,,,,
11,1,3--25,3,0,-2,,,,,,,,,,,,,,,,,,,,
11,2,3--26,2,0,0,,,,,,,,,,,,,,,,,,,,
11,1,3--27,2,3,2,,,,,,,,,,,,,,,,,,,,
11,2,3--28,2,0,0,,,,,,,,,,,,,,,,,,,,
11,2,3--29,2,0,0,,,,,,,,,,,,,,,,,,,,
11,1,3--30,2,1,0,,,,,,,,,,,,,,,,,,,,
11,2,3--31,2,2,2,,,,,,,,,,,,,,,,,,,,
11,1,3--32,2,2,1,,,,,,,,,,,,,,,,,,,,
11,1,3--33,2,1,0,,,,,,,,,,,,,,,,,,,,
11,2,3--34,2,0,0,,,,,,,,,,,,,,,,,,,,
